text,label
 C6083 • General Conditions  Road Maintenance Performance Contract (RMPC)  April 2020 ,No Section
"Copyright  © The State of Queensland (Department of Transport and Main Roads) 2020.  Licence   This work is licensed by the State of Queensland (Department of Transport and Main Roads) under a Creative Commons Attribution (CC BY) 4.0 International licence.  CC BY licence summary statement  https://creativecommons.org/licenses/by/4.0/  In essence, you are free to copy, communicate and adapt this work, as long as you attribute the work to the State of Queensland (Department of Transport and Main Roads). To view a copy of this licence, visit:  Translating and interpreting assistance   The Queensland Government is committed to providing accessible services to Queenslanders from all cultural and linguistic backgrounds. If you have difficulty understanding this publication and need a translator, please call the Translating and Interpreting Service (TIS National) on 13 14 50 and ask them to telephone the Queensland Department of Transport and Main Roads on 13 74 68.  Disclaimer  While every care has been taken in preparing this publication, the State of Queensland accepts no responsibility for decisions or actions taken as a result of any data, information, statement or advice, expressed or implied, contained within. To the best of our knowledge, the content was correct at the time of publishing.  Feedback  tmr.techdocs@tmr.qld.gov.au  Please send your feedback regarding this document to: ",No Section
"Contents  Part A: Contract overview and fundamentals......................................................................................1  1  Definitions and interpretations.....................................................................................................1  1.1  Definitions ....................................................................................................................................... 1  1.2  Interpretations ................................................................................................................................. 5  Part B: General contract framework.....................................................................................................6  2  Nature of contract ..........................................................................................................................6  2.1  Term................................................................................................................................................ 6  2.2  Cooperative approach .................................................................................................................... 6  2.3  Objectives ....................................................................................................................................... 6  2.4  Order of precedence of documents ................................................................................................ 6  2.5  Notices ............................................................................................................................................ 7  2.6  Assignment and subcontracting...................................................................................................... 7  2.6.1  Consent for assignment .................................................................................................7  2.6.2  Consent for subcontractors ............................................................................................7  2.6.3  Contractor remains liable ...............................................................................................8  2.7  Contract period ............................................................................................................................... 8  2.7.1  Continuation of work after expiration of current contract................................................8  2.7.2  Guaranteed renewal period............................................................................................8  2.7.3  Working days and hours.................................................................................................8  2.8  Royalties, fees and intellectual property rights ............................................................................... 8  2.8.1  Copyright vested in contractor........................................................................................8  2.8.2  Royalties and other fees.................................................................................................8  2.8.3  Contractor's warranty .....................................................................................................9  Part C: Contractor•s obligations and warranties ............................................................................. 10  3  Contractor's roles ....................................................................................................................... 10  3.1  Network stewardship .................................................................................................................... 10  3.2  Principles for routine maintenance works..................................................................................... 10  3.3  Design standards for minor works (if applicable).......................................................................... 12  3.4  Construction standards for minor works ....................................................................................... 12  3.5  Warranties..................................................................................................................................... 12  3.6  Labour, materials, plant and equipment ....................................................................................... 12  3.6.1  Supply of labour, materials, plant and equipment ....................................................... 12  3.6.2  Removal of materials, plant and equipment................................................................ 12  3.6.3  Removal of persons..................................................................................................... 13  3.6.4  No agency, relationships or representation................................................................. 13  3.6.5  Manufacture and supply of materials .......................................................................... 13  3.6.6  Use of proprietary, trade or brand names ................................................................... 13  3.7  Materials and work........................................................................................................................ 13  3.7.1  Quality of materials and work ...................................................................................... 13  3.7.2  Quality assurance........................................................................................................ 14  3.7.3  Contractor's obligations unaffected ............................................................................. 14  3.7.4  Defective work ............................................................................................................. 14  3.7.5  Acceptance of defective work...................................................................................... 14  3.8  Work directed by the Principal ...................................................................................................... 15  i ",Table of Contents
"Part D: Principal•s responsibilities .................................................................................................... 16  4  Principal•s role ............................................................................................................................ 16  4.1  Duties and accountability.............................................................................................................. 16  4.2  Contract review meetings ............................................................................................................. 16  4.2.1  Timing .......................................................................................................................... 16  4.2.2  Notice of meetings....................................................................................................... 16  4.2.3  Purpose of meetings.................................................................................................... 17  4.3  Contract performance reports....................................................................................................... 17  4.3.1  General ........................................................................................................................ 17  4.3.2  Less than satisfactory performance ............................................................................ 17  4.3.3  Unacceptable performance ......................................................................................... 17  4.4  Principal supplied information....................................................................................................... 17  Part E: Claims and dispute resolution .............................................................................................. 18  5  Certificates and payments ......................................................................................................... 18  5.1  Total contract amount ................................................................................................................... 18  5.2  Discretionary changes .................................................................................................................. 18  5.3  Reallocation .................................................................................................................................. 18  5.4  Payment claims............................................................................................................................. 18  5.5  Supporting documents for payment Claims.................................................................................. 19  5.6  Payment certificate ....................................................................................................................... 19  5.7  Payment........................................................................................................................................ 20  5.8  Emergency maintenance .............................................................................................................. 20  5.9  Payments Act................................................................................................................................ 20  6  Dispute resolution ...................................................................................................................... 20  6.1  Notice of dispute ........................................................................................................................... 20  6.2  Partners in Government Agreement requirements....................................................................... 20  6.3  Disputes involving with RoadTek.................................................................................................. 20  6.4  Work to continue during dispute ................................................................................................... 20  Part F: Variations................................................................................................................................. 21  7  Variations to the contract .......................................................................................................... 21  7.1  Allowable variation events ............................................................................................................ 21  7.1.1  Additional funds ........................................................................................................... 21  7.1.2  Advice to public ........................................................................................................... 21  7.1.3  Emergency maintenance............................................................................................. 21  7.1.4  Defective work ............................................................................................................. 21  7.1.5  Omission or decrease in work ..................................................................................... 21  7.1.6  Public Utility Plant, ancillary works and encroachments ............................................. 21  7.2  Notification .................................................................................................................................... 21  7.2.1  Contractor's initiative ................................................................................................... 21  7.2.2  Principal's initiative ...................................................................................................... 21  7.2.3  Defective work ............................................................................................................. 22  7.2.4  Emergency maintenance............................................................................................. 22  7.2.5  Quantification of variations .......................................................................................... 22  7.2.6  Reduced payment for defective work .......................................................................... 22  Part G: Insurances............................................................................................................................... 23 ",Table of Contents
"8  Insurance of the Works .............................................................................................................. 23  8.1  Care of uncompleted Work, materials and the Site ...................................................................... 23  8.2  Excepted Risks ............................................................................................................................. 23  8.3  Professional indemnity.................................................................................................................. 23  8.4  Public liability ................................................................................................................................ 23  8.4.1  Damage to persons and property other than the Work under the Contract ................ 23  8.4.2  Public liability insurance .............................................................................................. 24  8.4.3  Principal•s indemnity for non-performance .................................................................. 25  8.4.4  Indemnity for Contractor's Work .................................................................................. 25  8.5  Insurance of employees • workers• compensation....................................................................... 25  Part H: Site and execution of Work under the Contract .................................................................. 26  9  The Site ........................................................................................................................................ 26  9.1  Extent of Site................................................................................................................................. 26  9.2  Nature of possession .................................................................................................................... 26  9.2.1  Sufficiency of possession ............................................................................................ 26  9.2.2  Public use of Site......................................................................................................... 26  9.2.3  Necessary possession ................................................................................................ 26  9.2.4  Approval for removal ................................................................................................... 26  9.2.5  Joint use of the Site ..................................................................................................... 26  9.2.6  Principal•s materials..................................................................................................... 26  9.3  Protection of people and property ................................................................................................ 27  9.3.1  Contractor's responsibilities......................................................................................... 27  9.3.2  Damage to property..................................................................................................... 27  9.3.3  Maintain clean and tidy Site ........................................................................................ 27  9.3.4  Failure to comply ......................................................................................................... 27  9.3.5  Urgent protective Work................................................................................................ 27  9.4  Safety............................................................................................................................................ 27  9.4.1  Definitions .................................................................................................................... 27  9.4.2  General ........................................................................................................................ 27  9.4.3  Specific obligations • management and control.......................................................... 28  9.4.4  Responsibilities and liabilities...................................................................................... 28  9.4.5  Notifiable incidents ...................................................................................................... 29  9.4.6  Indemnities .................................................................................................................. 29  9.5  Mining and Quarrying Safety and Health Act 1999 ...................................................................... 29  9.5.1  Application of special conditions in addition to existing work health and safety  obligations30  9.5.2  Appointment of Contractor as Operator ...................................................................... 30  9.5.3  Discharge of duties under Mining and Quarry Safety and Health Act......................... 30  9.5.4  Definitions for this special condition ............................................................................ 30  9.6  Traffic management at Work Sites ............................................................................................... 31  9.6.1  Traffic guidance schemes ........................................................................................... 31  9.6.2  Public notification......................................................................................................... 31  9.6.3  Other traffic management issues ................................................................................ 31  Minerals, fossils and relics on Site ........................................................................................................ 32  9.7  Public Utility Plant, ancillary Works and encroachments.............................................................. 32  9.7.1  Liaise with owner and Principal ................................................................................... 32  9.7.2  Cost of alteration ......................................................................................................... 32  9.7.3  Indemnity ..................................................................................................................... 32  9.8  Suspension of the Work................................................................................................................ 32  9.8.1  Suspension by Principal .............................................................................................. 32  9.8.2  Suspension by Contractor ........................................................................................... 32 ",Table of Contents
9.8.3  Recommencement of Work......................................................................................... 33  9.8.4  Cost of suspension ...................................................................................................... 33  Part I: Quality system.......................................................................................................................... 34  10  Requirements of the quality system ......................................................................................... 34  10.1  General ......................................................................................................................................... 34  10.2  Quality system .............................................................................................................................. 34  10.3  Quality Plan................................................................................................................................... 34  10.3.1  Systematic Approach to the Management of Maintenance ........................................ 34  10.3.2  Operations ................................................................................................................... 35  10.4  Work health and safety management plan (safety plan) .............................................................. 35  10.5  Environmental management......................................................................................................... 35  10.5.1  General obligations...................................................................................................... 35  10.5.2  EMP (Maintenance)..................................................................................................... 36  10.5.3  Administrative requirements........................................................................................ 36  10.5.4  Management measures............................................................................................... 36  10.5.5  Requirements .............................................................................................................. 37  10.5.6  Environmental representative...................................................................................... 37  10.5.7  Burning ........................................................................................................................ 37  10.5.8  Weed management ..................................................................................................... 37  10.5.9  Erosion and sediment control...................................................................................... 37  10.5.10  Stockpile Sites ............................................................................................................. 38  10.5.11  Cultural heritage .......................................................................................................... 38  10.6  Audits ............................................................................................................................................ 38  10.6.1  Keeping records .......................................................................................................... 38  Part J: Default and termination .......................................................................................................... 39  11  Default .......................................................................................................................................... 39  11.1  General ......................................................................................................................................... 39  11.2  Default by the Contractor.............................................................................................................. 39  11.3  Requirements of a notice by the Principal to show cause............................................................ 39  11.4  Rights of the Principal................................................................................................................... 39  11.5  Procedure and adjustment on completion when the Principal takes over Work .......................... 40  11.6  Default of the Principal.................................................................................................................. 40  11.7  Requirements of a notice by the Contractor to show cause......................................................... 40  11.8  Rights of the Contractor ................................................................................................................ 41  11.9  Rights of the parties on termination .............................................................................................. 41  11.10  Termination without cause..................................................................................................... 41  Part K: General provisions ................................................................................................................. 42  12  Miscellaneous ............................................................................................................................. 42  12.1  Confidential information ................................................................................................................ 42  12.1.1  Contractor•s responsibility ........................................................................................... 42  12.1.2  Termination.................................................................................................................. 42  12.2  Information Privacy Act................................................................................................................. 42  12.3  The Queensland Code.................................................................................................................. 43  12.3.1  Primary obligation........................................................................................................ 43  12.3.2  Access and information ............................................................................................... 44  12.3.3  Sanctions ..................................................................................................................... 44 ,Table of Contents
12.4  Ethical Supplier Threshold and Ethical Supplier Mandate ........................................................... 44  Appendix A: Schedules ...................................................................................................................... 46  Appendix B: Activity Standard........................................................................................................... 47 ,Table of Contents
"Part A: Contract overview and fundamentals  1 Definitions and interpretations  1.1 Definitions  In the Contract, except where the context otherwise requires, specific definitions for words or phrases used in this document are listed in this table.    Term   Definition   Adjustment Events   Those events that will result in changes to the Total Contract Amount defined in •Part F: Variations•.   Affected Utilities   A Public Utility Plant (PUP) that may be affected by Work under the Contract.   Asset Information   Any document, information, data, report, material, sample or whatever its form  regarding:  a) the Road infrastructure or its surroundings  b) the condition of the Road infrastructure or the historical data relating to:  i.  Maintenance Work required to maintain the Road infrastructure  ii. Incident Response Activities  c) a Site or its surroundings or the subsurface conditions (including topographical, geological, environmental and hydrological conditions) or subsurface services at a Site or its surroundings   Authority   All federal, state or territory and local government councils, parliaments, departments, offices, bodies and instrumentalities and all public or statutory bodies, corporations, instrumentalities, authorities, Persons or entities which in any way govern, regulate, control or affect any aspect of the Work under Contract or Works.   Business Day   has the meaning given in the Payments Act   Claim   Includes any Claim, demand, action, proceeding or suit which the Contractor may make or bring against the Principal or any of its agents or employees or any Claim which the Principal may have against the Contractor relating to the construction of the Contract or as to any fact, matter or thing arising out of, or in connection with, the Contract or the Work under the Contract, including (without limitation) any Claim, demand, action, proceeding or suit seeking the payment of money or any costs, expenses, loss or damages on any ground whatsoever, including (without limitation) pursuant to the Contract, on a quantum merit basis, for unjust enrichment, in tort and insofar as is permitted by law pursuant to any other principle of law.   Confidential Information   Any information which is confidential to the Principal, and of which the Contractor is aware for the purpose of providing the Road Maintenance services or otherwise, and which includes (without limitation) information concerning or relating to past, present or contemplated activities, internal or external business operations or other information of the Principal or which may, either directly or indirectly, be relevant to the Principal's business and which includes any compilation of otherwise public information that is in a form not in the public domain.   Consequential Loss   Any: a) indirect or Consequential Loss or damage of any nature b) loss of profit, revenue, business, Contracts or anticipated savings, except any  liquidated damages or lane rentals payable under the Contract, which may have been calculated with reference to, or which otherwise includes, such loss.   Contract   means the agreement between the Principal and the Contractor and comprising the documents set out or referred to in the completed RMPC forms.   Contractor   A Local Government (LG), RoadTek or joint venture with local government(s) or RoadTek).   Contract  Documents   Comprises:  a) the completed Offer Documents (Conditional Agreement Schedules) b) other Offer Documents (not requiring completion) ",Glossary
" c) any ratification notice(s)  d) Contractor•s quality system, including its Quality Plan, Environmental Management  Plan (Maintenance) and Safety Plan  e) latest versions of referenced corporate documents, including:  i.  the Roads and Transport Alliance Memorandum of Agreement between the Department of Transport and Main Roads and Local Government Association of Queensland Ltd, The Roads and Transport Alliance Agreement (where the Contractor is a Local Government) ii. the current Mutual Obligations Agreement between RoadTek and the Principal•s district delegate (only where the Contractor is RoadTek) f) any variation or other written agreements under the Contract.   Contract Period   The period (up to 24 months) shown in the Contract Documents.   Day   means calendar day.   Daywork Rates   Where the Contract specifies that a valuation is to be made using Daywork Rates (including in relation to prime cost items and variations) such a valuation will be made using the corresponding Daywork Rates (as supplied) and actual quantities.   Defect   Any undesirable condition of the transport infrastructure identified as per Intervention Level/Response Time (IL/RT) criteria.   Defect Log   List of Defects identified as per IL/RT criteria during the inspection   Defect Backlog   Remaining unfunded Defects in the current Defect Log.   Department   The Queensland Department of Transport and Main Roads   Emergency  Maintenance   Maintenance Activities undertaken by the Contractor in response to an emergency situation.   Engineering Innovation document   The Principal's document, Engineering Innovation in the Department of Transport and Main Roads as amended from time to time.   Excepted Risks   has the meaning given in Clause 8.2   Forward List of Work   The list of works, programmed to be completed on the Network due to Defects having reached the Initial Intervention Level.   GST   means the goods and services tax imposed under the GST Legislation. A reference to an amount of GST is reference to the GST liability in respect of the supply in question   GST Legislation   A New Tax System (Goods and Services Tax) Act 1999 (Cth), associated legislation and any additional or substituted legislation providing for a value added tax, consumption tax, retail tax or other goods and services tax.   Guaranteed Renewal Period   The guaranteed period for renewal of the Contract as shown in the Contract Documents.   Guidelines   The department's technical document for Routine Maintenance Guidelines, incorporating:  a) Intervention Level and Response Time (IL/RT) criteria b) Hazardous Defects Identification Procedure c) corporate Maintenance Activity Standards.   Incident Response Activities   All activities required to comply with the notifiable incidents.   Initial Intervention Level   The magnitude of a Defect as set out in the Guidelines that should be used by the Contractor for recording Defects into the Forward List of Works to assist in Work planning.   Intellectual Property Right   Any patent, registered design, trademark or name, copyright or other protected right. ",Glossary
" Intervention Level/Response Time (IL/RT) criteria   As defined in the Routine Maintenance Guidelines (Guidelines).   Invitation to Offer   The department's invitation to the Contractor to prepare and submit an Offer in accordance with the Contract Documents.   Joint Maintenance Requirement Assessment  (JMRA)   A joint department/Contractor assessment of the Network for the purpose of determining the extent of Maintenance Activities required for Routine Maintenance for the forthcoming Contract Period.   LG   Local Government in Queensland   Maintenance Activity   Describes how a Defect is rectified. The word •Activity• in the document has the same meaning of Maintenance Activity.   Maintenance Activity Standard   The department•s requirements for a Maintenance Activity, including:  •  unique reference number (mandatory)  •  description (mandatory)  •  applicable specifications  •  restoration standards  •  units of measurement (mandatory)  •  work items (if applicable)  •  testing requirements  •  work preparation or work operations details in lieu  •  work planning, particular points to consider  •  work procedures, particular points to consider or work operations details in lieu. Note: These Activity Standards are not mandatory requirements (except where indicated) but may be used in preparing the Contractor•s Quality Plan. They are detailed in the Principal•s Routine Maintenance Guidelines (the Guidelines).   Maintenance   All activities, as indicated in the RMPC Manual and the Guidelines, to rectify Defects.   Minor Works   Specific minor enhancement works, generally preidentified during the JMRA in order to reduce further deterioration of transport infrastructure. The total estimated cost for all minor works schedules must be less than $500,000 per year per contract.   Network   Comprises those Roads included in the Contract.   Network Schedule   The financial limit that applies for each year for Routine Maintenance Schedule of Rates items (but excluding the prime cost items), as adjusted from time to time in accordance with the Contract.   Network Schedule Total   The sum of the extended amounts for the Network Schedule (form C6084.2). The amount agreed by the parties for completion of Maintenance Activities on the National Highway Network and the Other State-Controlled Network respectively.   Payments Act   means the Building Industry Fairness (Security of Payment) Act 2017 (Qld) and any relevant regulations and includes any amendments to that Act and those regulations.   Person   Includes a firm or body corporate or un-incorporate or an individual.   Planned Routine Maintenance Work   The items of Work specified in the Joint Maintenance Requirement Assessment (JMRA): where an item of Work is specified in the JMRA Schedule of Rates and the: a) Routine Maintenance Lump Sums or  b) Routine Maintenance Schedule of Rates  applies, that item of Work is only Planned Routine Maintenance Work where the Intervention Level specified in the JMRA for the relevant item of Work is exceeded.   Planned Routine Maintenance Work Schedule of Rates   Set out in form C6086. ",Glossary
